,,,,,,,,
,Overall # of Test Cases,1276,,,,,,
,,,,,,,,
,PROGRESS TRACKER,TOTAL SPRINT 1,,PROGRESS TRACKER,TOTAL SPRINT 2,,PROGRESS TRACKER,TOTAL SPRINT 3
,Status,,,Status,,,Status,
,Total # of Test Case,588,,Total # of Test Case,413,,Total # of Test Case,275
,Not Started,0,,Not Started,25,,Not Started,19
,Passed,587,,Passed,388,,Passed,252
,Failed,1,,Failed,0,,Failed,4
,Re-Test,0,,Re-Test,0,,Re-Test,0
,Blocked/Skip,0,,Blocked/Skip,0,,Blocked/Skip,0
,,,,,,,,
,Company,,,Company,,,Super Admin,
,,,,,,,,
,Sign Up,1,,Return Orders,,,Login,
,Verify Email,1,,Receipt Orders,,,Dashboard,
,Onboarding,1,,Purchase Orders,,,Companies,
,Log In,1,,Document Management,,,Wedding Suppliers,
,Forgot Password,1,,Campaign Management,,,Media Library,
,Reset Password,1,,Project Management ,,,Plans,
,Profile Settings,1,,Calendar,,,Plan Requests,
,Dashboard,1,,Cases,,,Plan Orders,
,Staff - Users,0.9565217391,,Meetings,,,Coupons,
,Staff - Roles,0.875,,Calls,,,Currencies,
,Lead Statuses,1,,Reports,,,Referral Program,
,Lead Sources,1,,Shipping Provider Types,,,Landing Page,
,Leads,0.9666666667,,Plans,,,Custom Pages,
,Opportunity Stages,,,Referral Program,,,Contact Messages,
,Opportunity Sources,,,Media Library,,,Newletters,
,Opportunities,,,Notification Templates,,,Email Templates,
,Account Type,,,Settings,,,Settings,
,Account Industries,,,,,,,
,Accounts,,,,,,,
,Contacts,,,,,,,
,Product Setup - Taxes,,,,,,,
,Product Setup - Brands,,,,,,,
,Product Setup - Categories,,,,,,,
,Products,,,,,,,
,Quotes,,,,,,,
,Sales Orders,,,,,,,
,Invoices,,,,,,,
,Delivery Orders,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
